id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,score
2748,ETSA,closed,Landsberg Lech Air Base,48.070599,10.906,2044,EU,DE,DE-BY,,0,,400
2736,ETNG,medium_airport,Geilenkirchen Air Base,50.9608,6.04242,296,EU,DE,DE-NW,,0,GKE,325
2730,ETIC,medium_airport,Grafenwohr Army Air Field,49.69869995,11.94019985,1363,EU,DE,DE-BY,,0,,250
2732,ETIH,medium_airport,Hohenfels Army Air Field,49.2181015,11.83609962,1455,EU,DE,DE-BY,,0,,250
28506,EDSH,small_airport,Backnang-Heiningen Airport,48.91972351,9.455278397,965,EU,DE,DE-BW,Backnang,0,,50
28514,EDRA,small_airport,Bad Neuenahr-Ahrweiler Airport,50.5577774,7.136388779,673,EU,DE,DE-RP,Bad Neuenahr,0,,50
2272,EDTB,small_airport,Baden-Oos Airport,48.7919426,8.185832977,404,EU,DE,DE-BW,Baden-Baden,0,,50
2242,EDLI,small_airport,Bielefeld Airport,51.964722,8.544444,454,EU,DE,DE-NW,Bielefeld,0,BFE,50
28548,EDWC,small_airport,Damme Airport,52.48749924,8.185556412,151,EU,DE,DE-NI,Damme,0,,50
28566,EDWQ,small_airport,Ganderkesee Atlas Airfield Airport,53.03610992,8.505556107,95,EU,DE,DE-NI,Ganderkesee,0,,50
28586,EDLH,small_airport,Hamm-Lippewiesen Airport,51.68972015,7.816111088,190,EU,DE,DE-NW,Hamm,0,,50
2264,EDQT,small_airport,Haßfurt-Schweinfurt Airport,50.01805496,10.52944374,719,EU,DE,DE-BY,Haßfurt,0,,50
28597,EDTH,small_airport,Heubach Airport,48.80277634,9.92749977,1424,EU,DE,DE-BW,Heubach,0,,50
28613,EDMJ,small_airport,Flugplatz Jesenwang,48.174168,11.125,1860,EU,DE,DE-BY,Jesenwang,0,,50
28672,EDWN,small_airport,Nordhorn-Lingen Airport,52.4575,7.182222,89,EU,DE,DE-NI,Klausheide,0,,50
28632,EDWL,small_airport,Langeoog Airport,53.74250031,7.497777939,7,EU,DE,DE-NI,Langeoog,0,LGO,50
2239,EDKZ,small_airport,Meinerzhagen Airport,51.09999847,7.599999905,1549,EU,DE,DE-NW,Meinerzhagen,0,,50
28642,EDFU,small_airport,Mainbullau Airport,49.69499969,9.182499886,1503,EU,DE,DE-BY,Miltenberg,0,,50
2271,EDSN,small_airport,Neuhausen ob Eck Airport,47.9766655,8.903888702,2638,EU,DE,DE-BW,Neuhausen ob Eck,0,,50
28664,EDQN,small_airport,Neustadt/Aisch Airport,49.58750153,10.57750034,1198,EU,DE,DE-BY,Neustadt an der Aisch,0,,50
28699,EDNR,small_airport,Regensburg-Oberhub Airport,49.14194489,12.08194447,1299,EU,DE,DE-BY,Regensburg,0,,50
28584,EDCG,small_airport,Rügen Airport,54.3833313,13.3255558,69,EU,DE,DE-MV,Rügen,0,GTI,50
28707,EDQP,small_airport,Rosenthal-Field Plössen Airport,49.86333466,11.7877779,1496,EU,DE,DE-BY,Speichersdorf,0,,50
